,time_utc,open,high,low,close,volume_krw,volume_market,price_change,gain,loss,avg_gain,avg_loss,rs,rsi,signal,position,highest_price,exit_price,strategy_returns,strategy_returns2,cumulative_returns,cumulative_returns2,benchmark_returns
0,2023-10-01,36805000.0,37817000.0,36742000.0,37789000.0,40197287482.54927,1072.43906114,,0.0,0.0,,,,,0,0,,,,,,,
1,2023-10-02,37788000.0,38720000.0,37200000.0,37424000.0,186313583118.01462,4894.78634431,983000.0,983000.0,0.0,,,,,0,0,,,0.0,0.0,1.0,1.0,1.0267083276728706
2,2023-10-03,37424000.0,37791000.0,37012000.0,37197000.0,97326904656.77483,2600.08235706,-364000.0,0.0,364000.0,,,,,0,0,,,-0.0,-0.0,1.0,1.0,1.0168183670696918
3,2023-10-04,37198000.0,37740000.0,37036000.0,37595000.0,89233400444.09496,2387.11196686,-226000.0,0.0,226000.0,,,,,0,0,,,-0.0,-0.0,1.0,1.0,1.0106778970248609
4,2023-10-05,37592000.0,38096000.0,37240000.0,37258000.0,87537921532.34395,2329.61562457,394000.0,394000.0,0.0,,,,,0,0,,,0.0,0.0,1.0,1.0,1.021382964271159
5,2023-10-06,37258000.0,38124000.0,37050000.0,37798000.0,90184643588.37437,2400.327927,-334000.0,0.0,334000.0,,,,,0,0,,,-0.0,-0.0,1.0,1.0,1.0123081103110991
6,2023-10-07,37798000.0,37997000.0,37725000.0,37902000.0,38115140031.55202,1006.0876418,540000.0,540000.0,0.0,,,,,0,0,,,0.0,0.0,1.0,1.0,1.0269800298872436
7,2023-10-08,37902000.0,38109000.0,37587000.0,37929000.0,71305648926.66829,1880.64238934,104000.0,104000.0,0.0,,,,,0,0,,,0.0,0.0,1.0,1.0,1.0298057329167234
8,2023-10-09,37929000.0,38047000.0,37237000.0,37595000.0,119979036669.32654,3186.87540521,27000.0,27000.0,0.0,,,,,0,0,,,0.0,0.0,1.0,1.0,1.0305393288955307
9,2023-10-10,37595000.0,37810000.0,37262000.0,37336000.0,78432728980.09937,2088.59646744,-334000.0,0.0,334000.0,,,,,0,0,,,-0.0,-0.0,1.0,1.0,1.0214644749354709
10,2023-10-11,37323000.0,37403000.0,36291000.0,36671000.0,121703714693.16171,3302.24816453,-272000.0,0.0,272000.0,,,,,0,0,,,-0.0,-0.0,1.0,1.0,1.0140741747045239
11,2023-10-12,36671000.0,36880000.0,36408000.0,36750000.0,64503382510.69762,1763.26549608,-652000.0,0.0,652000.0,,,,,0,0,,,-0.0,-0.0,1.0,1.0,0.9963591903274012
12,2023-10-13,36750000.0,37193000.0,36724000.0,36968000.0,64841512795.1982,1756.9902380400001,79000.0,79000.0,0.0,,,,,0,0,,,0.0,0.0,1.0,1.0,0.9985056378209481
13,2023-10-14,36968000.0,37156000.0,36700000.0,36790000.0,45151269085.55234,1222.06533918,218000.0,218000.0,0.0,167500.0,155857.14285714287,1.0747021081576535,51.80030925557765,0,0,,,0.0,0.0,1.0,1.0,1.0044287460942805
