,time_utc,open,high,low,close,volume_krw,volume_market,coin_returns
0,2023-10-23 19:00:00,46295000.0,46780000.0,44817000.0,45564000.0,480261704232.4772,10493.79082319,
1,2023-10-24 19:00:00,45578000.0,47355000.0,45050000.0,46768000.0,360303716885.50165,7788.60252199,1.0264243701167588
2,2023-10-25 19:00:00,46768000.0,47093000.0,45631000.0,45943000.0,323178408025.9288,6962.93738935,1.0083179703274514
3,2023-10-26 19:00:00,45943000.0,46352000.0,45450000.0,45700000.0,151182527085.89734,3289.18062267,1.002984812571328
4,2023-10-27 19:00:00,45700000.0,46780000.0,45667000.0,46516000.0,105514241465.2985,2279.27045544,1.0208936879992976
5,2023-10-28 19:00:00,46549000.0,47028000.0,46285000.0,47009000.0,99743691520.87486,2140.58883241,1.0317136335703625
6,2023-10-29 19:00:00,47020000.0,47215000.0,46417000.0,46581000.0,196721657015.03305,4202.00143394,1.0223202528311823
7,2023-10-30 19:00:00,46600000.0,46900000.0,46302000.0,46705000.0,179003086926.6097,3838.16449368,1.0250416995873934
8,2023-10-31 19:00:00,46705000.0,48165000.0,46614000.0,47030000.0,252845713049.49875,5363.59829767,1.0321745237468176
9,2023-11-01 19:00:00,47049000.0,48661000.0,46732000.0,47335000.0,339269528856.11755,7096.16085828,1.0388684048810464
10,2023-11-02 19:00:00,47335000.0,47700000.0,46203000.0,46426000.0,240550808303.01724,5151.84436909,1.0189184443859187
11,2023-11-03 19:00:00,46442000.0,46977000.0,46286000.0,46813000.0,125860017716.59914,2694.40304427,1.0274119919234483
12,2023-11-04 19:00:00,46816000.0,47500000.0,46706000.0,46973000.0,157908729860.56247,3348.51021177,1.0309235361250109
13,2023-11-05 19:00:00,46974000.0,47489000.0,46471000.0,46675000.0,170076873024.19778,3629.27354809,1.0243832850496004
14,2023-11-06 19:00:00,46699000.0,47352000.0,46300000.0,47182000.0,159032487392.48117,3406.87932936,1.035510490738302
15,2023-11-07 19:00:00,47188000.0,47696000.0,46927000.0,47255000.0,131133973532.9587,2778.56500487,1.0371126327802647
16,2023-11-08 19:00:00,47255000.0,50278000.0,47123000.0,48666000.0,548431651298.86896,11226.25799773,1.0680800632077951
17,2023-11-09 19:00:00,48666000.0,50215000.0,48500000.0,50010000.0,303493484260.3307,6134.72059415,1.0975770345009213
18,2023-11-10 19:00:00,50010000.0,50180000.0,49230000.0,49565000.0,201259503640.3292,4047.79207388,1.0878105521903252
